id;status;type;fee_type;has_bonus_withdraw;v2_integration_level;negotiated_tax;is_transparent
1005890;1;3;2;1;3;1;0
1005925;1;3;3;0;3;1;0
1122838;1;3;3;0;3;1;0
1122850;1;3;3;0;3;1;0
1122856;1;3;2;0;3;1;0
1219405;1;3;3;0;1;1;0
1342482;2;3;2;0;3;1;0
2509974;1;1;2;0;3;1;0
2533053;1;3;2;0;3;1;0
2573076;1;3;2;0;3;1;0
2586897;1;3;2;0;3;1;0
2605374;1;3;2;0;3;1;0
2781310;1;3;2;0;3;1;0
2921679;1;3;2;0;3;1;0
2987164;1;1;1;0;3;0;0
2921801;4;3;1;0;3;0;0
2697201;1;1;1;0;3;0;0
2660265;4;3;1;0;3;0;0
1707068;4;3;1;0;3;0;0
1306620;1;3;1;0;3;0;0
1296362;4;2;1;0;3;0;0
1284745;1;3;1;0;3;0;0
1223434;1;3;1;0;3;0;0
1219160;1;1;1;0;3;0;0
3060942;1;1;2;0;3;0;0
3056311;1;1;2;0;3;0;0
3053886;1;3;2;0;3;0;0
3052773;1;1;2;0;3;0;0
3052731;1;1;2;0;3;0;0
3052457;1;1;2;0;3;0;0
3050509;1;3;2;0;3;0;0
3049226;1;3;2;0;3;0;0
3049112;1;3;2;0;3;0;0
3048157;1;1;2;0;3;0;0
3061412;1;1;3;0;3;0;1
3061411;1;1;3;0;3;0;1
3061410;1;1;3;0;3;0;1
3061409;1;1;3;0;3;0;1
3061408;1;1;3;0;3;0;1
3061407;1;1;3;0;3;0;1
3061406;1;1;3;0;3;0;1
3061405;1;1;3;0;3;0;1
3061404;1;1;3;0;3;0;0
3061403;1;1;3;0;3;0;0
1122851;1;3;3;0;3;0;0
1122832;1;3;2;0;3;0;0
1005925;1;3;3;0;3;1;0
1005890;1;3;2;1;3;1;0
963347;1;1;3;0;1;0;0
628952;1;3;2;1;3;0;0
566310;1;3;1;1;3;0;0
556900;4;3;2;1;4;0;0
