id;account_id;payment_form_id;parcel_number;fixed_tax_percentual;parcel_tax_percentual;fixed_tax_value
2221;1122838;34;12;4,01;13,23;0,44
2222;1122838;4;1;2,86;0,00;0,44
2223;1122838;34;3;4,01;4,6;0,44
2224;1122838;34;2;4,01;4,03;0,44
2225;1122838;9;1;2,86;0,00;0,44
2226;1122838;76;5;4,01;6,33;0,44
2227;1122838;82;5;4,01;6,33;0,44
2228;1122838;7;7;4,01;8,63;0,44
2229;1122838;93;9;4,01;10,93;0,44
2230;1122838;34;8;4,01;9,78;0,44
2231;1122838;6;12;4,01;13,23;0,44
2232;1122838;7;1;4,01;0,00;0,44
2233;1122838;6;6;4,01;7,48;0,44
2234;1122838;57;11;4,01;12,65;0,44
2235;1122838;3;4;4,01;5,18;0,44
2236;1122838;74;12;4,01;13,23;0,44
2237;1122838;76;11;4,01;12,65;0,44
2238;1122838;6;3;4,01;4,6;0,44
2239;1122838;3;1;4,01;0,00;0,44
2240;1122838;76;12;4,01;13,23;0,44
2241;1122838;82;12;4,01;13,23;0,44
2242;1122838;82;9;4,01;10,93;0,44
2243;1122838;82;1;4,01;0,00;0,44
2244;1122838;7;10;4,01;12,08;0,44
2245;1122838;3;6;4,01;7,48;0,44
2246;1122838;35;1;2,86;0,00;0,44
2247;1122838;13;1;2,86;0,00;0,44
2248;1122838;57;4;4,01;5,18;0,44
2249;1122838;37;3;4,01;4,6;0,44
2250;1122838;6;5;4,01;6,33;0,44
2251;1122838;37;4;4,01;5,18;0,44
2252;1122838;57;3;4,01;4,6;0,44
2253;1122838;37;12;4,01;13,23;0,44
2254;1122838;76;1;4,01;0,00;0,44
2255;1122838;19;1;2,86;0,00;0,44
2256;1122838;93;5;4,01;6,33;0,44
2257;1122838;93;6;4,01;7,48;0,44
2258;1122838;5;5;4,01;6,33;0,44
2259;1122838;5;1;4,01;0,00;0,44
2260;1122838;3;10;4,01;12,08;0,44
2261;1122838;29;1;2,86;0,00;0,44
2262;1122838;57;5;4,01;6,33;0,44
2263;1122838;91;1;2,86;0,00;0,44
