id;account_id;payment_form_id;fixed;antecipation_percentage;one_parcel;between_two_and_six_parcels;more_than_seven_parcels
250358;1005890;1;0.00;0.00;3.99;0.00;0.00
250383;1005890;2;0.00;0.00;3.99;0.00;0.00
250367;1005890;3;0.00;0.00;3.99;3.99;3.99
250355;1005890;4;0.00;0.00;3.99;0.00;0.00
250378;1005890;5;0.00;0.00;3.99;3.99;3.99
250356;1005890;6;0.00;0.00;3.99;3.99;3.99
250372;1005890;7;0.00;0.00;3.99;3.99;3.99
250363;1005890;8;0.00;0.00;3.99;0.00;0.00
250370;1005890;9;0.00;0.00;3.99;0.00;0.00
250382;1005890;13;0.00;0.00;3.99;0.00;0.00
250364;1005890;14;0.00;0.00;3.99;0.00;0.00
250376;1005890;15;0.00;0.00;3.99;0.00;0.00
250381;1005890;18;0.00;0.00;3.99;0.00;0.00
250384;1005890;19;0.00;0.00;3.99;0.00;0.00
250375;1005890;20;0.00;0.00;3.99;0.00;0.00
250359;1005890;22;0.00;0.00;3.99;0.00;0.00
250357;1005890;23;0.00;0.00;3.99;0.00;0.00
250389;1005890;24;0.00;0.00;3.99;0.00;0.00
250377;1005890;27;0.00;0.00;3.99;0.00;0.00
250362;1005890;28;0.00;0.00;3.99;0.00;0.00
250379;1005890;29;0.00;0.00;3.99;0.00;0.00
250361;1005890;30;0.00;0.00;3.99;0.00;0.00
250371;1005890;32;0.00;0.00;3.99;0.00;0.00
250353;1005890;33;0.00;0.00;3.99;0.00;0.00
250388;1005890;34;0.00;0.00;3.99;3.99;3.99
250368;1005890;35;0.00;0.00;3.99;0.00;0.00
250380;1005890;37;0.00;0.00;3.99;3.99;3.99
250369;1005890;38;0.00;0.00;3.99;0.00;0.00
250387;1005890;57;0.00;0.00;3.99;3.99;3.99
250386;1005890;58;0.00;0.00;3.99;0.00;0.00
250385;1005890;73;0.00;0.00;3.99;0.00;0.00
250351;1005890;74;0.00;0.00;3.99;3.99;3.99
250365;1005890;75;0.00;0.00;3.99;3.99;3.99
250366;1005890;76;0.00;0.00;3.99;3.99;3.99
250374;1005890;77;0.00;0.00;3.99;0.00;0.00
250352;1005890;82;0.00;0.00;3.99;3.99;3.99
250360;1005890;83;0.00;0.00;3.99;0.00;0.00
250354;1005890;88;0.00;0.00;3.99;0.00;0.00
250373;1005890;91;0.00;0.00;3.99;0.00;0.00
352496;1005890;93;0.00;0.00;3.99;3.99;3.99
361096;1005890;94;0.00;0.00;3.99;3.99;3.99
300479;1122856;1;0.69;0.00;1.89;0.00;0.00
300465;1122856;2;0.69;0.00;1.89;0.00;0.00
300490;1122856;3;0.69;2.49;4.69;4.69;4.69
300463;1122856;4;0.69;0.00;1.89;0.00;0.00
300493;1122856;5;0.69;2.49;4.69;4.69;4.69
300477;1122856;6;0.69;2.49;4.69;4.69;4.69
300467;1122856;7;0.69;2.49;4.69;4.69;4.69
300491;1122856;8;0.69;0.00;1.89;0.00;0.00
300454;1122856;9;0.69;0.00;1.89;0.00;0.00
300456;1122856;13;0.69;0.00;1.89;0.00;0.00
300478;1122856;14;0.69;0.00;1.89;0.00;0.00
300482;1122856;15;0.69;0.00;1.89;0.00;0.00
300475;1122856;18;0.69;0.00;1.89;0.00;0.00
300459;1122856;19;0.69;0.00;1.89;0.00;0.00
300469;1122856;20;0.69;0.00;1.89;0.00;0.00
300462;1122856;22;0.69;0.00;1.89;0.00;0.00
300457;1122856;23;0.69;0.00;1.89;0.00;0.00
300472;1122856;24;0.69;0.00;1.89;0.00;0.00
300488;1122856;27;0.69;0.00;1.89;0.00;0.00
300458;1122856;28;0.69;0.00;1.89;0.00;0.00
300486;1122856;29;0.69;0.00;1.89;0.00;0.00
300480;1122856;30;0.69;0.00;1.89;0.00;0.00
300489;1122856;32;0.69;0.00;1.89;0.00;0.00
300484;1122856;33;0.69;0.00;1.89;0.00;0.00
300455;1122856;34;0.69;2.49;4.69;4.69;4.69
300460;1122856;35;0.69;0.00;1.89;0.00;0.00
300473;1122856;37;0.69;2.49;4.69;4.69;4.69
300485;1122856;38;0.69;0.00;1.89;0.00;0.00
300474;1122856;57;0.69;2.49;4.69;4.69;4.69
300464;1122856;58;0.69;0.00;1.89;0.00;0.00
300461;1122856;73;0.69;0.00;1.89;0.00;0.00
300492;1122856;74;0.69;2.49;4.69;4.69;4.69
300483;1122856;75;0.69;2.49;4.69;4.69;4.69
300466;1122856;76;0.69;2.49;4.69;4.69;4.69
300487;1122856;77;0.69;0.00;1.89;0.00;0.00
300476;1122856;82;0.69;2.49;4.69;4.69;4.69
300481;1122856;83;0.69;0.00;1.89;0.00;0.00
300470;1122856;88;0.69;0.00;1.89;0.00;0.00
300468;1122856;91;0.69;0.00;1.89;0.00;0.00
300471;1122856;93;0.69;2.49;4.69;4.69;4.69
361883;1122856;94;0.69;2.49;4.69;4.69;4.69
460124;1342482;1;2.40;0.00;0.00;0.00;0.00
460132;1342482;2;2.40;0.00;0.00;0.00;0.00
460147;1342482;3;0.00;2.49;2.99;2.99;2.99
460153;1342482;4;2.40;0.00;0.00;0.00;0.00
460162;1342482;5;0.00;2.49;2.99;2.99;2.99
460150;1342482;6;0.00;2.49;2.99;2.99;2.99
460141;1342482;7;0.00;2.49;2.99;2.99;2.99
460136;1342482;8;2.40;0.00;0.00;0.00;0.00
460126;1342482;9;2.68;0.00;0.00;0.00;0.00
460164;1342482;13;2.40;0.00;0.00;0.00;0.00
460134;1342482;14;2.68;0.00;0.00;0.00;0.00
460131;1342482;15;2.40;0.00;0.00;0.00;0.00
460160;1342482;18;2.40;0.00;0.00;0.00;0.00
460130;1342482;19;2.40;0.00;0.00;0.00;0.00
460143;1342482;20;2.68;0.00;0.00;0.00;0.00
460157;1342482;22;2.40;0.00;0.00;0.00;0.00
460142;1342482;23;2.40;0.00;0.00;0.00;0.00
460168;1342482;24;2.68;0.00;0.00;0.00;0.00
460159;1342482;27;2.40;0.00;0.00;0.00;0.00
460165;1342482;28;2.40;0.00;0.00;0.00;0.00
460152;1342482;29;2.40;0.00;0.00;0.00;0.00
460145;1342482;30;2.68;0.00;0.00;0.00;0.00
460163;1342482;32;2.40;0.00;0.00;0.00;0.00
460151;1342482;33;2.40;0.00;0.00;0.00;0.00
460140;1342482;34;0.00;2.49;2.99;2.99;2.99
460135;1342482;35;2.68;0.00;0.00;0.00;0.00
460125;1342482;37;0.00;2.49;2.99;2.99;2.99
460170;1342482;38;2.40;0.00;0.00;0.00;0.00
460123;1342482;57;0.00;2.49;2.99;2.99;2.99
460166;1342482;58;2.40;0.00;0.00;0.00;0.00
460146;1342482;73;2.68;0.00;0.00;0.00;0.00
460128;1342482;74;0.00;2.49;2.99;2.99;2.99
460133;1342482;75;0.00;2.49;2.99;2.99;2.99
460149;1342482;76;0.00;2.49;2.99;2.99;2.99
460169;1342482;77;2.68;0.00;0.00;0.00;0.00
460161;1342482;82;0.00;2.49;2.99;2.99;2.99
460148;1342482;83;2.40;0.00;0.00;0.00;0.00
460154;1342482;88;2.40;0.00;0.00;0.00;0.00
460138;1342482;91;2.68;0.00;0.00;0.00;0.00
460155;1342482;93;0.00;2.49;2.99;2.99;2.99
460129;1342482;94;0.00;2.49;2.99;2.99;2.99
460137;1342482;101;2.68;0.00;0.00;0.00;0.00
460156;1342482;103;0.00;2.99;1.62;3.69;3.69
460144;1342482;104;0.19;0.00;3.99;0.00;0.00
460167;1342482;105;0.00;2.99;1.62;3.69;3.69
460127;1342482;106;0.19;0.00;3.99;0.00;0.00
460158;1342482;109;0.00;2.99;1.62;3.69;3.69
460139;1342482;110;0.00;0.00;2.39;0.00;0.00
483881;2509974;1;2.99;0.00;0.00;0.00;0.00
483851;2509974;2;2.99;0.00;0.00;0.00;0.00
483876;2509974;3;0.00;2.69;2.99;2.99;2.99
483875;2509974;4;2.99;0.00;0.00;0.00;0.00
483849;2509974;5;0.00;2.69;2.99;2.99;2.99
483845;2509974;6;0.00;2.69;2.99;2.99;2.99
483860;2509974;7;0.00;2.69;2.99;2.99;2.99
483853;2509974;8;2.99;0.00;0.00;0.00;0.00
483877;2509974;9;2.99;0.00;0.00;0.00;0.00
483871;2509974;13;2.99;0.00;0.00;0.00;0.00
483841;2509974;14;2.99;0.00;0.00;0.00;0.00
483858;2509974;15;2.99;0.00;0.00;0.00;0.00
483861;2509974;18;2.99;0.00;0.00;0.00;0.00
483863;2509974;19;2.99;0.00;0.00;0.00;0.00
483862;2509974;20;2.99;0.00;0.00;0.00;0.00
483870;2509974;22;2.99;0.00;0.00;0.00;0.00
483842;2509974;23;2.99;0.00;0.00;0.00;0.00
483837;2509974;24;2.99;0.00;0.00;0.00;0.00
483850;2509974;27;2.99;0.00;0.00;0.00;0.00
483836;2509974;28;2.99;0.00;0.00;0.00;0.00
483839;2509974;29;2.99;0.00;0.00;0.00;0.00
483868;2509974;30;2.99;0.00;0.00;0.00;0.00
483852;2509974;32;2.99;0.00;0.00;0.00;0.00
483879;2509974;33;2.99;0.00;0.00;0.00;0.00
483873;2509974;34;0.00;2.69;2.99;2.99;2.99
483866;2509974;35;2.99;0.00;0.00;0.00;0.00
483840;2509974;37;0.00;2.69;2.99;2.99;2.99
483869;2509974;38;2.99;0.00;0.00;0.00;0.00
483847;2509974;57;0.00;2.69;2.99;2.99;2.99
483859;2509974;58;2.99;0.00;0.00;0.00;0.00
483874;2509974;73;2.99;0.00;0.00;0.00;0.00
483854;2509974;74;0.00;2.69;2.99;2.99;2.99
483865;2509974;75;0.00;2.69;2.99;2.99;2.99
483872;2509974;76;0.00;2.69;2.99;2.99;2.99
483878;2509974;77;2.99;0.00;0.00;0.00;0.00
483835;2509974;82;0.00;2.69;2.99;2.99;2.99
483855;2509974;83;2.99;0.00;0.00;0.00;0.00
483867;2509974;88;2.99;0.00;0.00;0.00;0.00
483882;2509974;91;2.99;0.00;0.00;0.00;0.00
483857;2509974;93;0.00;2.69;2.99;2.99;2.99
483880;2509974;94;0.00;2.69;2.99;2.99;2.99
483838;2509974;101;2.99;0.00;0.00;0.00;0.00
483848;2509974;103;0.00;2.99;1.62;3.69;3.69
483846;2509974;104;0.19;0.00;3.99;0.00;0.00
483843;2509974;105;0.00;2.99;1.62;3.69;3.69
483856;2509974;106;0.19;0.00;3.99;0.00;0.00
483864;2509974;109;0.00;2.99;1.62;3.69;3.69
483844;2509974;110;0.00;0.00;2.39;0.00;0.00
469242;2533053;1;2.99;0.00;0.00;0.00;0.00
469198;2533053;2;2.99;0.00;0.00;0.00;0.00
469203;2533053;3;0.00;2.69;2.99;2.99;2.99
469241;2533053;4;2.99;0.00;0.00;0.00;0.00
469240;2533053;5;0.00;2.69;2.99;2.99;2.99
469234;2533053;6;0.00;2.69;2.99;2.99;2.99
469237;2533053;7;0.00;2.69;2.99;2.99;2.99
469207;2533053;8;2.99;0.00;0.00;0.00;0.00
469214;2533053;9;2.99;0.00;0.00;0.00;0.00
469221;2533053;13;2.99;0.00;0.00;0.00;0.00
469218;2533053;14;2.99;0.00;0.00;0.00;0.00
469196;2533053;15;2.99;0.00;0.00;0.00;0.00
469232;2533053;18;2.99;0.00;0.00;0.00;0.00
469202;2533053;19;2.99;0.00;0.00;0.00;0.00
469204;2533053;20;2.99;0.00;0.00;0.00;0.00
469215;2533053;22;2.99;0.00;0.00;0.00;0.00
469226;2533053;23;2.99;0.00;0.00;0.00;0.00
469238;2533053;24;2.99;0.00;0.00;0.00;0.00
469224;2533053;27;2.99;0.00;0.00;0.00;0.00
469216;2533053;28;2.99;0.00;0.00;0.00;0.00
469220;2533053;29;2.99;0.00;0.00;0.00;0.00
469213;2533053;30;2.99;0.00;0.00;0.00;0.00
469222;2533053;32;2.99;0.00;0.00;0.00;0.00
469225;2533053;33;2.99;0.00;0.00;0.00;0.00
469205;2533053;34;0.00;2.69;2.99;2.99;2.99
469230;2533053;35;2.99;0.00;0.00;0.00;0.00
469229;2533053;37;0.00;2.69;2.99;2.99;2.99
469219;2533053;38;2.99;0.00;0.00;0.00;0.00
469208;2533053;57;0.00;2.69;2.99;2.99;2.99
469228;2533053;58;2.99;0.00;0.00;0.00;0.00
469197;2533053;73;2.99;0.00;0.00;0.00;0.00
469235;2533053;74;0.00;2.69;2.99;2.99;2.99
469217;2533053;75;0.00;2.69;2.99;2.99;2.99
469236;2533053;76;0.00;2.69;2.99;2.99;2.99
469210;2533053;77;2.99;0.00;0.00;0.00;0.00
469195;2533053;82;0.00;2.69;2.99;2.99;2.99
469239;2533053;83;2.99;0.00;0.00;0.00;0.00
469199;2533053;88;2.99;0.00;0.00;0.00;0.00
469200;2533053;91;2.99;0.00;0.00;0.00;0.00
469209;2533053;93;0.00;2.69;2.99;2.99;2.99
469223;2533053;94;0.00;2.69;2.99;2.99;2.99
469211;2533053;101;2.99;0.00;0.00;0.00;0.00
469206;2533053;103;0.00;2.99;1.62;3.69;3.69
469212;2533053;104;0.19;0.00;3.99;0.00;0.00
469231;2533053;105;0.00;2.99;1.62;3.69;3.69
469227;2533053;106;0.19;0.00;3.99;0.00;0.00
469233;2533053;109;0.00;2.99;1.62;3.69;3.69
469201;2533053;110;0.00;0.00;2.39;0.00;0.00
468648;2573076;1;2.99;0.00;0.00;0.00;0.00
468650;2573076;2;2.99;0.00;0.00;0.00;0.00
468660;2573076;3;0.00;2.69;2.99;2.99;2.99
468646;2573076;4;2.99;0.00;0.00;0.00;0.00
468653;2573076;5;0.00;2.69;2.99;2.99;2.99
468620;2573076;6;0.00;2.69;2.99;2.99;2.99
468651;2573076;7;0.00;2.69;2.99;2.99;2.99
468625;2573076;8;2.99;0.00;0.00;0.00;0.00
