id;channel_id;payment_form_id;parcel_number;fixed_tax_percentual;parcel_tax_percentual;fixed_tax_value
1;2;1;1;4.99;0.00;0.00
2;2;2;1;4.99;0.00;0.00
3;2;3;1;4.99;0.00;0.00
4;2;4;1;4.99;0.00;0.00
5;2;5;1;4.99;0.00;0.00
6;2;6;1;4.99;0.00;0.00
7;2;7;1;4.99;0.00;0.00
8;2;8;1;4.99;0.00;0.00
9;2;9;1;4.99;0.00;0.00
10;2;10;1;4.99;0.00;0.00
11;2;11;1;4.99;0.00;0.00
12;2;12;1;4.99;0.00;0.00
13;2;13;1;4.99;0.00;0.00
14;2;14;1;4.99;0.00;0.00
15;2;15;1;4.99;0.00;0.00
16;2;16;1;4.99;0.00;0.00
17;2;17;1;4.99;0.00;0.00
18;2;18;1;4.99;0.00;0.00
19;2;19;1;4.99;0.00;0.00
20;2;20;1;4.99;0.00;0.00
21;2;21;1;4.99;0.00;0.00
22;2;22;1;4.99;0.00;0.00
23;2;23;1;4.99;0.00;0.00
24;2;24;1;4.99;0.00;0.00
25;2;25;1;4.99;0.00;0.00
26;2;26;1;4.99;0.00;0.00
27;2;27;1;4.99;0.00;0.00
28;2;28;1;4.99;0.00;0.00
29;2;29;1;4.99;0.00;0.00
30;2;30;1;4.99;0.00;0.00
31;2;31;1;4.99;0.00;0.00
32;2;32;1;4.99;0.00;0.00
33;2;33;1;4.99;0.00;0.00
34;2;34;1;4.99;0.00;0.00
35;2;35;1;4.99;0.00;0.00
36;2;36;1;4.99;0.00;0.00
37;2;37;1;4.99;0.00;0.00
38;2;38;1;4.99;0.00;0.00
39;2;39;1;4.99;0.00;0.00
40;2;40;1;4.99;0.00;0.00
41;2;41;1;4.99;0.00;0.00
42;2;42;1;4.99;0.00;0.00
43;2;43;1;4.99;0.00;0.00
44;2;44;1;4.99;0.00;0.00
45;2;45;1;4.99;0.00;0.00
46;2;46;1;4.99;0.00;0.00
47;2;47;1;4.99;0.00;0.00
48;2;48;1;4.99;0.00;0.00
49;2;49;1;4.99;0.00;0.00
50;2;50;1;4.99;0.00;0.00
51;2;51;1;4.99;0.00;0.00
52;2;52;1;4.99;0.00;0.00
53;2;53;1;4.99;0.00;0.00
54;2;54;1;4.99;0.00;0.00
55;2;55;1;4.99;0.00;0.00
56;2;56;1;4.99;0.00;0.00
57;2;57;1;4.99;0.00;0.00
58;2;58;1;4.99;0.00;0.00
59;2;59;1;4.99;0.00;0.00
60;2;60;1;4.99;0.00;0.00
61;2;61;1;4.99;0.00;0.00
62;2;62;1;4.99;0.00;0.00
63;2;63;1;4.99;0.00;0.00
64;2;64;1;4.99;0.00;0.00
65;2;65;1;4.99;0.00;0.00
66;2;66;1;4.99;0.00;0.00
67;2;67;1;4.99;0.00;0.00
68;2;68;1;4.99;0.00;0.00
69;2;69;1;4.99;0.00;0.00
70;2;70;1;4.99;0.00;0.00
71;2;71;1;4.99;0.00;0.00
72;2;72;1;4.99;0.00;0.00
73;2;73;1;4.99;0.00;0.00
74;2;74;1;4.99;0.00;0.00
75;2;75;1;4.99;0.00;0.00
76;2;76;1;4.99;0.00;0.00
77;2;77;1;4.99;0.00;0.00
78;2;78;1;4.99;0.00;0.00
79;2;79;1;4.99;0.00;0.00
80;2;80;1;4.99;0.00;0.00
81;2;81;1;4.99;0.00;0.00
82;2;82;1;4.99;0.00;0.00
83;2;83;1;4.99;0.00;0.00
84;2;84;1;4.99;0.00;0.00
85;2;85;1;4.99;0.00;0.00
86;2;86;1;4.99;0.00;0.00
87;2;87;1;4.99;0.00;0.00
88;2;88;1;4.99;0.00;0.00
89;2;89;1;4.99;0.00;0.00
90;2;90;1;4.99;0.00;0.00
91;2;91;1;4.99;0.00;0.00
92;2;1;2;4.99;5.50;0.00
93;2;2;2;4.99;5.50;0.00
94;2;3;2;4.99;5.50;0.00
95;2;4;2;4.99;5.50;0.00
96;2;5;2;4.99;5.50;0.00
97;2;6;2;4.99;5.50;0.00
98;2;7;2;4.99;5.50;0.00
99;2;8;2;4.99;5.50;0.00
100;2;9;2;4.99;5.50;0.00
101;2;10;2;4.99;5.50;0.00
102;2;11;2;4.99;5.50;0.00
103;2;12;2;4.99;5.50;0.00
104;2;13;2;4.99;5.50;0.00
105;2;14;2;4.99;5.50;0.00
106;2;15;2;4.99;5.50;0.00
107;2;16;2;4.99;5.50;0.00
108;2;17;2;4.99;5.50;0.00
109;2;18;2;4.99;5.50;0.00
110;2;19;2;4.99;5.50;0.00
111;2;20;2;4.99;5.50;0.00
112;2;21;2;4.99;5.50;0.00
113;2;22;2;4.99;5.50;0.00
114;2;23;2;4.99;5.50;0.00
115;2;24;2;4.99;5.50;0.00
116;2;25;2;4.99;5.50;0.00
117;2;26;2;4.99;5.50;0.00
118;2;27;2;4.99;5.50;0.00
119;2;28;2;4.99;5.50;0.00
120;2;29;2;4.99;5.50;0.00
121;2;30;2;4.99;5.50;0.00
122;2;31;2;4.99;5.50;0.00
123;2;32;2;4.99;5.50;0.00
124;2;33;2;4.99;5.50;0.00
125;2;34;2;4.99;5.50;0.00
126;2;35;2;4.99;5.50;0.00
127;2;36;2;4.99;5.50;0.00
128;2;37;2;4.99;5.50;0.00
129;2;38;2;4.99;5.50;0.00
130;2;39;2;4.99;5.50;0.00
131;2;40;2;4.99;5.50;0.00
132;2;41;2;4.99;5.50;0.00
133;2;42;2;4.99;5.50;0.00
134;2;43;2;4.99;5.50;0.00
135;2;44;2;4.99;5.50;0.00
136;2;45;2;4.99;5.50;0.00
137;2;46;2;4.99;5.50;0.00
138;2;47;2;4.99;5.50;0.00
139;2;48;2;4.99;5.50;0.00
140;2;49;2;4.99;5.50;0.00
141;2;50;2;4.99;5.50;0.00
142;2;51;2;4.99;5.50;0.00
143;2;52;2;4.99;5.50;0.00
144;2;53;2;4.99;5.50;0.00
145;2;54;2;4.99;5.50;0.00
146;2;55;2;4.99;5.50;0.00
147;2;56;2;4.99;5.50;0.00
148;2;57;2;4.99;5.50;0.00
149;2;58;2;4.99;5.50;0.00
150;2;59;2;4.99;5.50;0.00
151;2;60;2;4.99;5.50;0.00
152;2;61;2;4.99;5.50;0.00
153;2;62;2;4.99;5.50;0.00
154;2;63;2;4.99;5.50;0.00
155;2;64;2;4.99;5.50;0.00
156;2;65;2;4.99;5.50;0.00
157;2;66;2;4.99;5.50;0.00
158;2;67;2;4.99;5.50;0.00
159;2;68;2;4.99;5.50;0.00
160;2;69;2;4.99;5.50;0.00
161;2;70;2;4.99;5.50;0.00
162;2;71;2;4.99;5.50;0.00
163;2;72;2;4.99;5.50;0.00
164;2;73;2;4.99;5.50;0.00
165;2;74;2;4.99;5.50;0.00
166;2;75;2;4.99;5.50;0.00
167;2;76;2;4.99;5.50;0.00
168;2;77;2;4.99;5.50;0.00
169;2;78;2;4.99;5.50;0.00
170;2;79;2;4.99;5.50;0.00
171;2;80;2;4.99;5.50;0.00
172;2;81;2;4.99;5.50;0.00
173;2;82;2;4.99;5.50;0.00
174;2;83;2;4.99;5.50;0.00
175;2;84;2;4.99;5.50;0.00
176;2;85;2;4.99;5.50;0.00
177;2;86;2;4.99;5.50;0.00
178;2;87;2;4.99;5.50;0.00
179;2;88;2;4.99;5.50;0.00
180;2;89;2;4.99;5.50;0.00
181;2;90;2;4.99;5.50;0.00
182;2;91;2;4.99;5.50;0.00
183;2;1;3;4.99;6.00;0.00
184;2;2;3;4.99;6.00;0.00
185;2;3;3;4.99;6.00;0.00
186;2;4;3;4.99;6.00;0.00
187;2;5;3;4.99;6.00;0.00
188;2;6;3;4.99;6.00;0.00
189;2;7;3;4.99;6.00;0.00
190;2;8;3;4.99;6.00;0.00
191;2;9;3;4.99;6.00;0.00
192;2;10;3;4.99;6.00;0.00
193;2;11;3;4.99;6.00;0.00
194;2;12;3;4.99;6.00;0.00
195;2;13;3;4.99;6.00;0.00
196;2;14;3;4.99;6.00;0.00
197;2;15;3;4.99;6.00;0.00
198;2;16;3;4.99;6.00;0.00
199;2;17;3;4.99;6.00;0.00
200;2;18;3;4.99;6.00;0.00
201;2;19;3;4.99;6.00;0.00
202;2;20;3;4.99;6.00;0.00
203;2;21;3;4.99;6.00;0.00
204;2;22;3;4.99;6.00;0.00
205;2;23;3;4.99;6.00;0.00
206;2;24;3;4.99;6.00;0.00
207;2;25;3;4.99;6.00;0.00
208;2;26;3;4.99;6.00;0.00
209;2;27;3;4.99;6.00;0.00
210;2;28;3;4.99;6.00;0.00
211;2;29;3;4.99;6.00;0.00
212;2;30;3;4.99;6.00;0.00
213;2;31;3;4.99;6.00;0.00
214;2;32;3;4.99;6.00;0.00
215;2;33;3;4.99;6.00;0.00
216;2;34;3;4.99;6.00;0.00
217;2;35;3;4.99;6.00;0.00
218;2;36;3;4.99;6.00;0.00
219;2;37;3;4.99;6.00;0.00
220;2;38;3;4.99;6.00;0.00
221;2;39;3;4.99;6.00;0.00
222;2;40;3;4.99;6.00;0.00
223;2;41;3;4.99;6.00;0.00
224;2;42;3;4.99;6.00;0.00
225;2;43;3;4.99;6.00;0.00
226;2;44;3;4.99;6.00;0.00
227;2;45;3;4.99;6.00;0.00
228;2;46;3;4.99;6.00;0.00
229;2;47;3;4.99;6.00;0.00
230;2;48;3;4.99;6.00;0.00
231;2;49;3;4.99;6.00;0.00
232;2;50;3;4.99;6.00;0.00
233;2;51;3;4.99;6.00;0.00
234;2;52;3;4.99;6.00;0.00
235;2;53;3;4.99;6.00;0.00
236;2;54;3;4.99;6.00;0.00
237;2;55;3;4.99;6.00;0.00
238;2;56;3;4.99;6.00;0.00
239;2;57;3;4.99;6.00;0.00
240;2;58;3;4.99;6.00;0.00
241;2;59;3;4.99;6.00;0.00
242;2;60;3;4.99;6.00;0.00
243;2;61;3;4.99;6.00;0.00
244;2;62;3;4.99;6.00;0.00
245;2;63;3;4.99;6.00;0.00
246;2;64;3;4.99;6.00;0.00
247;2;65;3;4.99;6.00;0.00
248;2;66;3;4.99;6.00;0.00
249;2;67;3;4.99;6.00;0.00
250;2;68;3;4.99;6.00;0.00
251;2;69;3;4.99;6.00;0.00
252;2;70;3;4.99;6.00;0.00
253;2;71;3;4.99;6.00;0.00
254;2;72;3;4.99;6.00;0.00
255;2;73;3;4.99;6.00;0.00
256;2;74;3;4.99;6.00;0.00
257;2;75;3;4.99;6.00;0.00
258;2;76;3;4.99;6.00;0.00
259;2;77;3;4.99;6.00;0.00
260;2;78;3;4.99;6.00;0.00
261;2;79;3;4.99;6.00;0.00
262;2;80;3;4.99;6.00;0.00
263;2;81;3;4.99;6.00;0.00
264;2;82;3;4.99;6.00;0.00
265;2;83;3;4.99;6.00;0.00
266;2;84;3;4.99;6.00;0.00
267;2;85;3;4.99;6.00;0.00
268;2;86;3;4.99;6.00;0.00
269;2;87;3;4.99;6.00;0.00
270;2;88;3;4.99;6.00;0.00
271;2;89;3;4.99;6.00;0.00
272;2;90;3;4.99;6.00;0.00
273;2;91;3;4.99;6.00;0.00
274;2;1;4;4.99;6.50;0.00
275;2;2;4;4.99;6.50;0.00
276;2;3;4;4.99;6.50;0.00
277;2;4;4;4.99;6.50;0.00
278;2;5;4;4.99;6.50;0.00
279;2;6;4;4.99;6.50;0.00
280;2;7;4;4.99;6.50;0.00
281;2;8;4;4.99;6.50;0.00
282;2;9;4;4.99;6.50;0.00
283;2;10;4;4.99;6.50;0.00
284;2;11;4;4.99;6.50;0.00
285;2;12;4;4.99;6.50;0.00
286;2;13;4;4.99;6.50;0.00
287;2;14;4;4.99;6.50;0.00
288;2;15;4;4.99;6.50;0.00
289;2;16;4;4.99;6.50;0.00
290;2;17;4;4.99;6.50;0.00
291;2;18;4;4.99;6.50;0.00
292;2;19;4;4.99;6.50;0.00
293;2;20;4;4.99;6.50;0.00
294;2;21;4;4.99;6.50;0.00
295;2;22;4;4.99;6.50;0.00
296;2;23;4;4.99;6.50;0.00
297;2;24;4;4.99;6.50;0.00
298;2;25;4;4.99;6.50;0.00
299;2;26;4;4.99;6.50;0.00
300;2;27;4;4.99;6.50;0.00
301;2;28;4;4.99;6.50;0.00
302;2;29;4;4.99;6.50;0.00
303;2;30;4;4.99;6.50;0.00
304;2;31;4;4.99;6.50;0.00
305;2;32;4;4.99;6.50;0.00
306;2;33;4;4.99;6.50;0.00
307;2;34;4;4.99;6.50;0.00
308;2;35;4;4.99;6.50;0.00
309;2;36;4;4.99;6.50;0.00
310;2;37;4;4.99;6.50;0.00
311;2;38;4;4.99;6.50;0.00
312;2;39;4;4.99;6.50;0.00
313;2;40;4;4.99;6.50;0.00
314;2;41;4;4.99;6.50;0.00
315;2;42;4;4.99;6.50;0.00
316;2;43;4;4.99;6.50;0.00
317;2;44;4;4.99;6.50;0.00
318;2;45;4;4.99;6.50;0.00
319;2;46;4;4.99;6.50;0.00
320;2;47;4;4.99;6.50;0.00
321;2;48;4;4.99;6.50;0.00
322;2;49;4;4.99;6.50;0.00
323;2;50;4;4.99;6.50;0.00
324;2;51;4;4.99;6.50;0.00
325;2;52;4;4.99;6.50;0.00
326;2;53;4;4.99;6.50;0.00
327;2;54;4;4.99;6.50;0.00
328;2;55;4;4.99;6.50;0.00
329;2;56;4;4.99;6.50;0.00
330;2;57;4;4.99;6.50;0.00
331;2;58;4;4.99;6.50;0.00
332;2;59;4;4.99;6.50;0.00
333;2;60;4;4.99;6.50;0.00
334;2;61;4;4.99;6.50;0.00
335;2;62;4;4.99;6.50;0.00
336;2;63;4;4.99;6.50;0.00
337;2;64;4;4.99;6.50;0.00
338;2;65;4;4.99;6.50;0.00
339;2;66;4;4.99;6.50;0.00
340;2;67;4;4.99;6.50;0.00
341;2;68;4;4.99;6.50;0.00
342;2;69;4;4.99;6.50;0.00
343;2;70;4;4.99;6.50;0.00
344;2;71;4;4.99;6.50;0.00
345;2;72;4;4.99;6.50;0.00
346;2;73;4;4.99;6.50;0.00
347;2;74;4;4.99;6.50;0.00
348;2;75;4;4.99;6.50;0.00
349;2;76;4;4.99;6.50;0.00
350;2;77;4;4.99;6.50;0.00
351;2;78;4;4.99;6.50;0.00
352;2;79;4;4.99;6.50;0.00
353;2;80;4;4.99;6.50;0.00
354;2;81;4;4.99;6.50;0.00
355;2;82;4;4.99;6.50;0.00
356;2;83;4;4.99;6.50;0.00
357;2;84;4;4.99;6.50;0.00
358;2;85;4;4.99;6.50;0.00
359;2;86;4;4.99;6.50;0.00
360;2;87;4;4.99;6.50;0.00
361;2;88;4;4.99;6.50;0.00
362;2;89;4;4.99;6.50;0.00
363;2;90;4;4.99;6.50;0.00
364;2;91;4;4.99;6.50;0.00
365;2;1;5;4.99;7.50;0.00
366;2;2;5;4.99;7.50;0.00
367;2;3;5;4.99;7.50;0.00
368;2;4;5;4.99;7.50;0.00
369;2;5;5;4.99;7.50;0.00
370;2;6;5;4.99;7.50;0.00
371;2;7;5;4.99;7.50;0.00
372;2;8;5;4.99;7.50;0.00
373;2;9;5;4.99;7.50;0.00
374;2;10;5;4.99;7.50;0.00
375;2;11;5;4.99;7.50;0.00
376;2;12;5;4.99;7.50;0.00
377;2;13;5;4.99;7.50;0.00
378;2;14;5;4.99;7.50;0.00
379;2;15;5;4.99;7.50;0.00
380;2;16;5;4.99;7.50;0.00
381;2;17;5;4.99;7.50;0.00
382;2;18;5;4.99;7.50;0.00
383;2;19;5;4.99;7.50;0.00
384;2;20;5;4.99;7.50;0.00
385;2;21;5;4.99;7.50;0.00
386;2;22;5;4.99;7.50;0.00
387;2;23;5;4.99;7.50;0.00
388;2;24;5;4.99;7.50;0.00
389;2;25;5;4.99;7.50;0.00
390;2;26;5;4.99;7.50;0.00
391;2;27;5;4.99;7.50;0.00
392;2;28;5;4.99;7.50;0.00
393;2;29;5;4.99;7.50;0.00
394;2;30;5;4.99;7.50;0.00
395;2;31;5;4.99;7.50;0.00
396;2;32;5;4.99;7.50;0.00
397;2;33;5;4.99;7.50;0.00
398;2;34;5;4.99;7.50;0.00
399;2;35;5;4.99;7.50;0.00
400;2;36;5;4.99;7.50;0.00
401;2;37;5;4.99;7.50;0.00
402;2;38;5;4.99;7.50;0.00
403;2;39;5;4.99;7.50;0.00
404;2;40;5;4.99;7.50;0.00
405;2;41;5;4.99;7.50;0.00
406;2;42;5;4.99;7.50;0.00
407;2;43;5;4.99;7.50;0.00
408;2;44;5;4.99;7.50;0.00
409;2;45;5;4.99;7.50;0.00
410;2;46;5;4.99;7.50;0.00
411;2;47;5;4.99;7.50;0.00
412;2;48;5;4.99;7.50;0.00
413;2;49;5;4.99;7.50;0.00
414;2;50;5;4.99;7.50;0.00
415;2;51;5;4.99;7.50;0.00
416;2;52;5;4.99;7.50;0.00
417;2;53;5;4.99;7.50;0.00
418;2;54;5;4.99;7.50;0.00
419;2;55;5;4.99;7.50;0.00
420;2;56;5;4.99;7.50;0.00
421;2;57;5;4.99;7.50;0.00
422;2;58;5;4.99;7.50;0.00
423;2;59;5;4.99;7.50;0.00
424;2;60;5;4.99;7.50;0.00
425;2;61;5;4.99;7.50;0.00
426;2;62;5;4.99;7.50;0.00
427;2;63;5;4.99;7.50;0.00
428;2;64;5;4.99;7.50;0.00
429;2;65;5;4.99;7.50;0.00
430;2;66;5;4.99;7.50;0.00
431;2;67;5;4.99;7.50;0.00
432;2;68;5;4.99;7.50;0.00
433;2;69;5;4.99;7.50;0.00
434;2;70;5;4.99;7.50;0.00
435;2;71;5;4.99;7.50;0.00
436;2;72;5;4.99;7.50;0.00
437;2;73;5;4.99;7.50;0.00
438;2;74;5;4.99;7.50;0.00
439;2;75;5;4.99;7.50;0.00
440;2;76;5;4.99;7.50;0.00
441;2;77;5;4.99;7.50;0.00
442;2;78;5;4.99;7.50;0.00
443;2;79;5;4.99;7.50;0.00
444;2;80;5;4.99;7.50;0.00
445;2;81;5;4.99;7.50;0.00
446;2;82;5;4.99;7.50;0.00
447;2;83;5;4.99;7.50;0.00
448;2;84;5;4.99;7.50;0.00
449;2;85;5;4.99;7.50;0.00
450;2;86;5;4.99;7.50;0.00
451;2;87;5;4.99;7.50;0.00
452;2;88;5;4.99;7.50;0.00
453;2;89;5;4.99;7.50;0.00
454;2;90;5;4.99;7.50;0.00
455;2;91;5;4.99;7.50;0.00
456;2;1;6;4.99;8.50;0.00
457;2;2;6;4.99;8.50;0.00
458;2;3;6;4.99;8.50;0.00
459;2;4;6;4.99;8.50;0.00
460;2;5;6;4.99;8.50;0.00
461;2;6;6;4.99;8.50;0.00
462;2;7;6;4.99;8.50;0.00
463;2;8;6;4.99;8.50;0.00
464;2;9;6;4.99;8.50;0.00
465;2;10;6;4.99;8.50;0.00
466;2;11;6;4.99;8.50;0.00
467;2;12;6;4.99;8.50;0.00
468;2;13;6;4.99;8.50;0.00
469;2;14;6;4.99;8.50;0.00
470;2;15;6;4.99;8.50;0.00
471;2;16;6;4.99;8.50;0.00
472;2;17;6;4.99;8.50;0.00
473;2;18;6;4.99;8.50;0.00
474;2;19;6;4.99;8.50;0.00
475;2;20;6;4.99;8.50;0.00
476;2;21;6;4.99;8.50;0.00
477;2;22;6;4.99;8.50;0.00
478;2;23;6;4.99;8.50;0.00
479;2;24;6;4.99;8.50;0.00
480;2;25;6;4.99;8.50;0.00
481;2;26;6;4.99;8.50;0.00
482;2;27;6;4.99;8.50;0.00
483;2;28;6;4.99;8.50;0.00
484;2;29;6;4.99;8.50;0.00
485;2;30;6;4.99;8.50;0.00
486;2;31;6;4.99;8.50;0.00
487;2;32;6;4.99;8.50;0.00
488;2;33;6;4.99;8.50;0.00
489;2;34;6;4.99;8.50;0.00
490;2;35;6;4.99;8.50;0.00
491;2;36;6;4.99;8.50;0.00
492;2;37;6;4.99;8.50;0.00
493;2;38;6;4.99;8.50;0.00
494;2;39;6;4.99;8.50;0.00
495;2;40;6;4.99;8.50;0.00
496;2;41;6;4.99;8.50;0.00
497;2;42;6;4.99;8.50;0.00
498;2;43;6;4.99;8.50;0.00
499;2;44;6;4.99;8.50;0.00
500;2;45;6;4.99;8.50;0.00
501;2;46;6;4.99;8.50;0.00
502;2;47;6;4.99;8.50;0.00
503;2;48;6;4.99;8.50;0.00
504;2;49;6;4.99;8.50;0.00
505;2;50;6;4.99;8.50;0.00
506;2;51;6;4.99;8.50;0.00
507;2;52;6;4.99;8.50;0.00
508;2;53;6;4.99;8.50;0.00
509;2;54;6;4.99;8.50;0.00
510;2;55;6;4.99;8.50;0.00
511;2;56;6;4.99;8.50;0.00
512;2;57;6;4.99;8.50;0.00
513;2;58;6;4.99;8.50;0.00
514;2;59;6;4.99;8.50;0.00
515;2;60;6;4.99;8.50;0.00
516;2;61;6;4.99;8.50;0.00
517;2;62;6;4.99;8.50;0.00
518;2;63;6;4.99;8.50;0.00
519;2;64;6;4.99;8.50;0.00
520;2;65;6;4.99;8.50;0.00
521;2;66;6;4.99;8.50;0.00
522;2;67;6;4.99;8.50;0.00
523;2;68;6;4.99;8.50;0.00
524;2;69;6;4.99;8.50;0.00
525;2;70;6;4.99;8.50;0.00
526;2;71;6;4.99;8.50;0.00
527;2;72;6;4.99;8.50;0.00
528;2;73;6;4.99;8.50;0.00
529;2;74;6;4.99;8.50;0.00
530;2;75;6;4.99;8.50;0.00
531;2;76;6;4.99;8.50;0.00
532;2;77;6;4.99;8.50;0.00
533;2;78;6;4.99;8.50;0.00
534;2;79;6;4.99;8.50;0.00
535;2;80;6;4.99;8.50;0.00
536;2;81;6;4.99;8.50;0.00
537;2;82;6;4.99;8.50;0.00
538;2;83;6;4.99;8.50;0.00
539;2;84;6;4.99;8.50;0.00
540;2;85;6;4.99;8.50;0.00
541;2;86;6;4.99;8.50;0.00
542;2;87;6;4.99;8.50;0.00
543;2;88;6;4.99;8.50;0.00
544;2;89;6;4.99;8.50;0.00
545;2;90;6;4.99;8.50;0.00
546;2;91;6;4.99;8.50;0.00
547;2;1;7;4.99;9.50;0.00
548;2;2;7;4.99;9.50;0.00
549;2;3;7;4.99;9.50;0.00
550;2;4;7;4.99;9.50;0.00
551;2;5;7;4.99;9.50;0.00
552;2;6;7;4.99;9.50;0.00
553;2;7;7;4.99;9.50;0.00
554;2;8;7;4.99;9.50;0.00
555;2;9;7;4.99;9.50;0.00
556;2;10;7;4.99;9.50;0.00
557;2;11;7;4.99;9.50;0.00
558;2;12;7;4.99;9.50;0.00
559;2;13;7;4.99;9.50;0.00
560;2;14;7;4.99;9.50;0.00
561;2;15;7;4.99;9.50;0.00
562;2;16;7;4.99;9.50;0.00
563;2;17;7;4.99;9.50;0.00
564;2;18;7;4.99;9.50;0.00
565;2;19;7;4.99;9.50;0.00
566;2;20;7;4.99;9.50;0.00
567;2;21;7;4.99;9.50;0.00
568;2;22;7;4.99;9.50;0.00
569;2;23;7;4.99;9.50;0.00
570;2;24;7;4.99;9.50;0.00
571;2;25;7;4.99;9.50;0.00
572;2;26;7;4.99;9.50;0.00
573;2;27;7;4.99;9.50;0.00
574;2;28;7;4.99;9.50;0.00
