id;account_id;payment_form_id;fixed;percentual
263068;2987164;3;0,43;6,60
263069;2987164;4;0,43;6,60
263070;2987164;5;0,43;6,60
263071;2987164;6;0,43;6,60
263072;2987164;7;0,43;6,60
263073;2987164;8;0,43;3,24
263074;2987164;10;0,43;3,24
263075;2987164;12;0,43;3,24
263076;2987164;13;0,43;3,24
263077;2987164;21;0,43;3,24
263078;2987164;22;0,43;3,24
263079;2987164;73;0,43;3,24
263080;2987164;75;0,43;6,60
263081;2987164;76;0,43;6,60
263082;2987164;82;0,43;6,60
263083;2987164;83;0,43;3,24
263084;2987164;88;0,43;3,24
263085;2987164;93;0,43;6,60
263086;2987164;94;0,43;6,60
263028;2660265;3;0,43;6,94
263029;2660265;4;0,43;6,94
263030;2660265;5;0,43;6,94
263031;2660265;6;0,43;6,94
263032;2660265;7;0,43;6,94
263033;2660265;8;0,43;2,12
263034;2660265;10;0,43;2,12
263035;2660265;12;0,43;2,12
263036;2660265;13;0,43;2,12
263037;2660265;21;0,43;2,12
263038;2660265;22;0,43;2,12
263039;2660265;73;3,36;0,00
263040;2660265;75;0,43;6,94
263041;2660265;76;0,43;6,94
263042;2660265;82;0,43;6,94
263043;2660265;83;0,43;2,12
263044;2660265;88;0,43;2,12
263045;2660265;93;0,43;6,94
263046;2660265;94;0,43;6,94
263047;2660265;101;0,43;2,12
262833;1306620;1;0,00;2,12
262834;1306620;3;0,00;5,81
262835;1306620;4;0,00;5,81
262836;1306620;5;0,00;5,81
262837;1306620;6;0,00;5,81
262838;1306620;7;0,00;5,81
262839;1306620;8;0,00;2,12
262840;1306620;10;0,00;2,12
262841;1306620;12;0,00;2,12
262842;1306620;13;0,00;2,12
262843;1306620;21;0,00;2,12
262844;1306620;22;0,00;2,12
262845;1306620;73;0,00;2,12
262846;1306620;75;0,00;5,81
262847;1306620;76;0,00;5,81
262848;1306620;82;0,00;5,81
262849;1306620;83;0,00;2,12
262850;1306620;88;0,00;2,12
262851;1306620;93;0,00;5,81
262852;1306620;94;0,00;5,81
262853;1306620;101;0,00;2,12
262854;1306620;103;0,00;0,00
262855;1306620;104;0,00;0,00
262856;1306620;105;0,00;0,00
262857;1306620;106;0,00;0,00
262920;1296362;1;0,43;1,90
262921;1296362;3;0,43;5,60
262922;1296362;4;0,43;5,60
262923;1296362;5;0,43;5,60
262924;1296362;6;0,43;5,60
262925;1296362;7;0,43;5,60
262926;1296362;8;0,43;1,90
262927;1296362;10;0,43;1,90
262928;1296362;12;0,43;1,90
262929;1296362;13;0,43;1,90
262930;1296362;21;0,43;1,90
262931;1296362;22;0,43;1,90
262932;1296362;73;0,43;1,90
262933;1296362;75;0,43;5,60
262934;1296362;76;0,43;5,60
262935;1296362;82;0,43;5,60
262936;1296362;83;0,43;1,90
262937;1296362;88;0,43;1,90
262938;1296362;93;0,43;5,60
262939;1296362;94;0,43;5,60
262940;1296362;101;0,43;1,90
262825;1284745;3;0,43;6,60
262826;1284745;4;0,43;6,60
262827;1284745;5;0,43;6,60
262828;1284745;6;0,43;6,60
262829;1284745;7;0,43;6,60
262830;1284745;75;0,43;6,60
262831;1284745;93;0,43;6,60
262832;1284745;94;0,43;6,60
262815;1223434;3;0,43;6,60
262816;1223434;4;0,43;6,60
262817;1223434;5;0,43;6,60
262818;1223434;6;0,43;6,60
262820;1223434;7;0,43;6,60
262822;1223434;75;0,43;6,60
262823;1223434;93;0,43;6,60
262824;1223434;94;0,43;6,60
263051;2679686;37;0,43;6,60
263048;2679686;3;0,43;6,60
263049;2679686;75;0,43;6,60
263050;2679686;94;0,43;6,60
263052;2679686;5;0,43;6,60
263053;2679686;7;0,43;6,60
263054;2679686;93;0,43;6,60
263055;2679686;34;0,43;6,60
263056;2679686;82;0,43;6,60
263057;2679686;6;0,43;6,60
263058;2679686;74;0,43;6,60
263059;2679686;76;0,43;6,60
263060;2679686;57;0,43;6,60
263019;2301996;21;0,32;2,22
263018;2301996;13;0,32;2,22
263017;2301996;12;0,32;2,22
263016;2301996;10;0,32;2,22
263015;2301996;8;0,32;2,22
263014;2301996;7;0,32;3,68
263009;2301996;1;0,43;2,22
263010;2301996;3;0,32;3,68
263011;2301996;4;0,32;2,22
263013;2301996;6;0,32;3,68
263012;2301996;5;0,32;3,68
263020;2301996;22;0,32;2,22
263021;2301996;73;0,75;2,22
263092;2301996;94;0,32;3,68
263093;2301996;101;0,75;2,22
263023;2301996;76;0,32;3,68
263027;2301996;93;0,32;3,68
263026;2301996;88;0,32;2,22
263025;2301996;83;0,32;2,22
263024;2301996;82;0,32;3,68
263022;2301996;75;0,32;3,68
262994;1387472;13;0,43;3,24
262995;1387472;21;0,43;3,24
262993;1387472;12;0,43;3,24
262992;1387472;10;0,43;3,24
262991;1387472;8;0,43;3,24
262990;1387472;7;0,43;5,58
262989;1387472;6;0,43;5,58
262988;1387472;5;0,43;5,58
262985;1387472;1;0,43;3,24
262986;1387472;3;0,43;5,58
262987;1387472;4;0,43;5,58
262996;1387472;22;0,43;3,24
262997;1387472;73;3,92;0,00
262998;1387472;75;0,43;5,58
263005;1387472;101;3,92;0,00
263004;1387472;94;0,43;5,58
263003;1387472;93;0,43;5,58
263002;1387472;88;0,43;3,24
263001;1387472;83;0,43;3,24
263000;1387472;82;0,43;5,58
262999;1387472;76;0,43;5,58
262888;1328862;13;0,32;2,22
262889;1328862;21;0,32;2,22
262890;1328862;22;0,32;2,22
262892;1328862;75;0,32;3,68
262893;1328862;76;0,32;3,68
262894;1328862;82;0,32;3,68
262895;1328862;83;0,32;2,22
262896;1328862;88;0,32;2,22
262897;1328862;93;0,32;3,68
262898;1328862;94;0,32;3,68
262891;1328862;73;0,75;2,22
262881;1328862;4;0,32;2,22
262887;1328862;12;0,32;2,22
263091;1328862;101;0,75;2,22
262879;1328862;1;0,43;2,22
262880;1328862;3;0,32;3,68
262882;1328862;5;0,32;3,68
262883;1328862;6;0,32;3,68
262884;1328862;7;0,32;3,68
262885;1328862;8;0,32;2,22
262886;1328862;10;0,32;2,22
262878;1328859;101;0,75;2,22
262869;1328859;22;0,32;2,22
262870;1328859;73;0,75;2,22
262871;1328859;75;0,32;3,68
262872;1328859;76;0,32;3,68
262873;1328859;82;0,32;3,68
262874;1328859;83;0,32;2,22
262876;1328859;93;0,32;3,68
262875;1328859;88;0,32;2,22
262867;1328859;13;0,32;2,22
262866;1328859;12;0,32;2,22
262868;1328859;21;0,32;2,22
262877;1328859;94;0,32;3,68
262858;1328859;1;0,43;2,22
262859;1328859;3;0,32;3,68
262860;1328859;4;0,32;2,22
262861;1328859;5;0,32;3,68
262862;1328859;6;0,32;3,68
262863;1328859;7;0,32;3,68
262864;1328859;8;0,32;2,22
262865;1328859;10;0,32;2,22
262796;1261105;13;0,43;2,22
262795;1261105;12;0,43;2,22
262794;1261105;10;0,43;2,22
